Date,SPX,Amazon
1/26/16,1903.630005,601.25
1/27/16,1882.949951,583.349976
1/28/16,1893.359985,635.349976
1/29/16,1940.23999,587
2/1/16,1939.380005,574.809998
2/2/16,1903.030029,552.099976
2/3/16,1912.530029,531.070007
2/4/16,1915.449951,536.26001
2/5/16,1880.050049,502.130005
2/8/16,1853.439941,488.100006
2/9/16,1852.209961,482.070007
2/10/16,1851.859985,490.480011
2/11/16,1829.079956,503.820007
2/12/16,1864.780029,507.079987
2/16/16,1895.579956,521.099976
2/17/16,1926.819946,534.099976
2/18/16,1917.829956,525
2/19/16,1917.780029,534.900024
2/22/16,1945.5,559.5
2/23/16,1921.27002,552.940002
2/24/16,1929.800049,554.039978
2/25/16,1951.699951,555.150024
2/26/16,1948.050049,555.22998
2/29/16,1932.22998,552.52002
3/1/16,1978.349976,579.039978
3/2/16,1986.449951,580.210022
3/3/16,1993.400024,577.48999
3/4/16,1999.98999,575.140015
3/7/16,2001.76001,562.799988
3/8/16,1979.26001,560.26001
3/9/16,1989.26001,559.469971
3/10/16,1989.569946,558.929993
3/11/16,2022.189941,569.609985
3/14/16,2019.640015,573.369995
3/15/16,2015.930054,577.02002
3/16/16,2027.219971,574.27002
3/17/16,2040.589966,559.440002
3/18/16,2049.580078,552.080017
3/21/16,2051.600098,553.97998
3/22/16,2049.800049,560.47998
3/23/16,2036.709961,569.630005
3/24/16,2035.939941,582.950012
3/28/16,2037.050049,579.869995
3/29/16,2055.01001,593.859985
3/30/16,2063.949951,598.690002
3/31/16,2059.73999,593.640015
4/1/16,2072.780029,598.5
4/4/16,2066.129883,593.190002
4/5/16,2045.170044,586.140015
4/6/16,2066.659912,602.080017
4/7/16,2041.910034,591.429993
4/8/16,2047.599976,594.599976
4/11/16,2041.98999,595.929993
4/12/16,2061.719971,603.169983
4/13/16,2082.419922,614.820007
4/14/16,2082.780029,620.75
4/15/16,2080.72998,625.890015
4/18/16,2094.340088,635.349976
4/19/16,2100.800049,627.900024
4/20/16,2102.399902,632.98999
4/21/16,2091.47998,631
4/22/16,2091.580078,620.5
4/25/16,2087.790039,626.200012
4/26/16,2091.699951,616.880005
4/27/16,2095.149902,606.570007
4/28/16,2075.810059,602
4/29/16,2065.300049,659.590027
5/2/16,2081.429932,683.849976
5/3/16,2063.370117,671.320007
5/4/16,2051.120117,670.900024
5/5/16,2050.629883,659.090027
5/6/16,2057.139893,673.950012
5/9/16,2058.689941,679.75
5/10/16,2084.389893,703.070007
5/11/16,2064.459961,713.22998
5/12/16,2064.110107,717.929993
5/13/16,2046.609985,709.919983
5/16/16,2066.659912,710.659973
5/17/16,2047.209961,695.27002
5/18/16,2047.630005,697.450012
5/19/16,2040.040039,698.52002
5/20/16,2052.320068,702.799988
5/23/16,2048.040039,696.75
5/24/16,2076.060059,704.200012
5/25/16,2090.540039,708.349976
5/26/16,2090.100098,714.909973
5/27/16,2099.060059,712.23999
5/31/16,2096.949951,722.789978
6/1/16,2099.330078,719.440002
6/2/16,2105.26001,728.23999
6/3/16,2099.129883,725.539978
6/6/16,2109.409912,726.72998
6/7/16,2112.129883,723.73999
6/8/16,2119.120117,726.640015
6/9/16,2115.47998,727.650024
6/10/16,2096.070068,717.909973
6/13/16,2079.060059,715.23999
6/14/16,2075.320068,719.299988
6/15/16,2071.5,714.26001
6/16/16,2077.98999,717.51001
6/17/16,2071.219971,706.390015
6/20/16,2083.25,714.01001
6/21/16,2088.899902,715.820007
6/22/16,2085.449951,710.599976
6/23/16,2113.320068,722.080017
6/24/16,2037.410034,698.960022
6/27/16,2000.540039,691.359985
6/28/16,2036.089966,707.950012
6/29/16,2070.77002,715.599976
6/30/16,2098.860107,715.619995
7/1/16,2102.949951,725.679993
7/5/16,2088.550049,728.099976
7/6/16,2099.72998,737.609985
7/7/16,2097.899902,736.570007
7/8/16,2129.899902,745.809998
7/11/16,2137.159912,753.780029
7/12/16,2152.139893,748.210022
7/13/16,2152.429932,742.630005
7/14/16,2163.75,741.200012
7/15/16,2161.73999,735.440002
7/18/16,2166.889893,736.070007
7/19/16,2163.780029,739.950012
7/20/16,2173.02002,745.719971
7/21/16,2165.169922,744.429993
7/22/16,2175.030029,744.859985
7/25/16,2168.47998,739.609985
7/26/16,2169.179932,735.590027
7/27/16,2166.580078,736.669983
7/28/16,2170.060059,752.609985
7/29/16,2173.600098,758.809998
8/1/16,2170.840088,767.73999
8/2/16,2157.030029,760.580017
8/3/16,2163.790039,754.640015
8/4/16,2164.25,760.77002
8/5/16,2182.870117,765.97998
8/8/16,2180.889893,766.559998
